iter	Passed	Remaining
1618	12144	2857
1619	12151	2850
1620	12158	2842
1621	12165	2835
1622	12173	2827
1623	12180	2820
1624	12188	2812
1625	12195	2805
1626	12203	2797
1627	12210	2790
1628	12218	2782
1629	12225	2775
1630	12232	2767
1631	12240	2760
1632	12247	2752
1633	12254	2744
1634	12262	2737
1635	12269	2729
1636	12276	2722
1637	12284	2714
1638	12293	2707
1639	12300	2700
1640	12308	2692
1641	12315	2685
1642	12322	2677
1643	12330	2670
1644	12337	2662
1645	12345	2655
1646	12352	2647
1647	12360	2640
1648	12368	2632
1649	12376	2625
1650	12383	2617
1651	12390	2610
1652	12397	2602
1653	12404	2594
1654	12411	2587
1655	12418	2579
1656	12426	2572
1657	12433	2564
1658	12440	2557
1659	12447	2549
1660	12455	2542
1661	12462	2534
1662	12470	2527
1663	12477	2519
1664	12485	2512
1665	12492	2504
1666	12500	2497
1667	12507	2489
1668	12515	2482
1669	12522	2474
1670	12530	2467
1671	12539	2459
1672	12547	2452
